미영이네식당@@제주 서귀포시 대정읍 하모리 770-29@@https://mp-seoul-image-production-s3.mangoplate.com/14929/1013171_1654046624455_23674?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-792-0077@@2만원-3만원@@무료주차 가능@@11:30 - 22:00@@1
상춘재@@제주 제주시 조천읍 선흘리 1829-11@@https://mp-seoul-image-production-s3.mangoplate.com/2166912_1650594065286658.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-725-1557@@만원-2만원@@무료주차 가능@@10:00 - 15:30@@1
남양수산@@제주 서귀포시 성산읍 고성리 1191-6@@https://mp-seoul-image-production-s3.mangoplate.com/187247/1176502_1648027612941_147401?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-782-6618@@4만원 이상@@주차공간없음@@14:00 - 20:00@@1
연리지가든@@제주 제주시 한경면 두모리 288@@https://mp-seoul-image-production-s3.mangoplate.com/380175/1013171_1654046479428_23665?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-796-8700@@2만원-3만원@@무료주차 가능@@11:00 - 21:00@@1
숙성도@@제주 제주시 노형동 941-2@@https://mp-seoul-image-production-s3.mangoplate.com/47875_1654779997447305.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-711-5212@@만원-2만원@@주차공간없음@@15:00 - 00:30@@1
곰막@@제주 제주시 구좌읍 동복리 667-1@@https://mp-seoul-image-production-s3.mangoplate.com/1757052_1650809007006166.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-727-5111@@만원-2만원@@무료주차 가능@@09:30 - 21:00@@1
선흘곶@@제주 제주시 조천읍 선흘리 산22@@https://mp-seoul-image-production-s3.mangoplate.com/567429_1561286104097389.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-783-5753@@만원-2만원@@무료주차 가능@@10:30 - 20:00@@1
제주선채향@@제주 서귀포시 안덕면 사계리 2294-2@@https://mp-seoul-image-production-s3.mangoplate.com/417820/37208_1653484606123_5493?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-794-7177@@만원-2만원@@@@@@1
중문수두리보말칼국수@@제주 서귀포시 중문동 2056-2@@https://mp-seoul-image-production-s3.mangoplate.com/184195/862487_1648389723751_2111?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-739-1070@@만원-2만원@@주차공간없음@@08:00 - 17:00@@1
숙성도@@제주 서귀포시 색달동 2123@@https://mp-seoul-image-production-s3.mangoplate.com/2192337_1649645976557500.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80@@064-739-5213@@만원-2만원@@무료주차 가능@@12:00 - 23:00@@1
